country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Dominica,75.314,75.375,75.17,74.747,74.21300000000001,73.643,73.025,72.37,71.742,71.242,70.926,70.842,70.97,71.21,71.373,71.368,71.145,70.753,70.29,69.903,69.676,69.67,69.824,70.093,70.37899999999999,70.627,70.807,70.95,71.074,71.229,71.44,71.718,72.044,72.4,72.778,73.16199999999999,73.543,73.925,74.3
Dominican Republic,5803.927,5935.986999999999,6068.048000000001,6200.108,6332.168000000001,6464.229,6598.081999999999,6731.935,6865.7880000000005,6999.641,7133.494000000001,7270.645,7407.795,7544.946,7682.096,7819.246999999999,7949.661999999999,8080.076999999999,8210.491,8340.905999999999,8471.321,8596.508,8721.695,8846.883,8972.069,9097.257,9216.83,9336.402,9455.976,9575.548,9695.121,9812.433,9929.744,10047.06,10164.37,10281.68,10394.93,10508.17,10876.4
Ecuador,7989.186,8204.57,8419.955,8635.34,8850.725,9066.109,9299.074,9532.039,9765.004,9997.969000000001,10230.93,10475.79,10720.64,10965.5,11210.35,11455.2,11700.39,11945.57,12190.76,12435.94,12681.12,12910.07,13139.01,13367.96,13596.9,13825.85,14062.9,14299.96,14537.01,14774.06,15011.12,15251.3,15491.48,15731.66,15971.84,16212.02,16498.23,16784.43,16859.1
Egypt,43309.06,44499.0,45688.93,46878.86,48068.8,49258.73,50633.88,52009.03,53384.18,54759.33,56134.48,57374.39,58614.3,59854.21,61094.12,62334.04,63633.54,64933.04,66232.55,67532.05,68831.56,70169.96,71508.37,72846.77,74185.16,75523.57,76971.1,78418.63,79866.17,81313.7,82761.23,84697.5,86633.76,88570.02,90506.28,92442.55,94420.92,96399.29,99276.2
El Salvador,4580.704000000001,4649.335,4717.965999999999,4786.598,4855.229,4923.86,4990.085,5056.31,5122.534000000001,5188.759,5254.984,5326.21,5397.437,5468.6630000000005,5539.889,5611.115,5662.4169999999995,5713.719,5765.021,5816.3240000000005,5867.626,5899.893,5932.16,5964.427,5996.694,6028.960999999999,6056.094,6083.227,6110.36,6137.493,6164.626,6194.196,6223.767,6253.3369999999995,6282.908,6312.478,6345.795,6379.113,6412.4
Equatorial Guinea,255.325,276.0392,296.7534,317.4676,338.1818,358.89599999999996,372.486,386.07599999999996,399.666,413.256,426.846,442.45099999999996,458.056,473.661,489.26599999999996,504.871,526.7614,548.6518,570.5422,592.4326,614.323,642.9218,671.5206,700.1194,728.7182,757.317,796.0744,834.8318,873.5892,912.3466,951.1039999999999,995.961,1040.818,1085.675,1130.532,1175.389,1221.567,1267.745,1313.9
Ethiopia,35141.71,36243.8,37345.88,38447.97,39550.05,40652.14,42099.29,43546.43,44993.57,46440.72,47887.86,49719.88,51551.88,53383.89,55215.9,57047.91,58883.29,60718.67,62554.05,64389.43,66224.8,68249.1,70273.41,72297.71,74322.01,76346.31,78605.04,80863.77,83122.5,85381.23,87639.96,90279.06,92918.16,95557.26,98196.36,100835.5,103661.1,106486.7,107605.0
Fiji,635.255,650.5362,665.8174,681.0986,696.3798,711.6610000000001,715.0544,718.4478,721.8412,725.2346,728.628,738.002,747.3760000000001,756.75,766.1239999999999,775.498,782.643,789.788,796.933,804.078,811.2230000000001,813.3418,815.4606,817.5794,819.6982,821.817,829.4436,837.0702,844.6968,852.3234,859.95,866.3898,872.8296,879.2694,885.7092,892.1489999999999,898.7022,905.2554,911.8
Finland,4781.596,4803.0109999999995,4830.628,4859.304,4884.79,4904.321,4920.026,4933.742,4948.45,4966.874,4989.442,5017.556,5045.24,5069.313,5090.938,5110.049,5126.51,5141.713,5155.035,5166.931,5177.435,5189.731,5202.022,5214.693,5230.281,5248.467,5268.939,5291.661,5316.6269999999995,5342.01,5366.3330000000005,5391.521,5417.146,5442.045999999999,5464.071999999999,5481.475,5497.3009999999995,5509.441999999999,5520.3
France,55314.19,55624.99,55944.82,56223.01,56485.5,56749.29,57020.45,57306.86,57610.97,57924.77,58212.01,58495.57,58780.52,59022.42,59236.08,59444.61,59649.85,59856.7,60074.67,60400.09,60816.45,61257.27,61699.07,62131.68,62592.63,63058.35,63489.28,63871.39,64221.59,64543.12,64858.77,65165.14,65479.09,65953.86,66348.59,66570.8,66741.97,66880.4,67358.0
Gabon,729.159,749.3442,769.5294,789.7146,809.8998,830.085,854.5104,878.9358,903.3612,927.7866,952.212,978.997,1005.7819999999999,1032.567,1059.3519999999999,1086.137,1115.134,1144.131,1173.128,1202.125,1231.122,1265.5230000000001,1299.924,1334.3239999999998,1368.725,1403.126,1450.543,1497.96,1545.376,1592.793,1640.21,1698.203,1756.1960000000001,1814.1889999999999,1872.182,1930.175,1974.398,2018.621,2062.8
"Gambia, The",604.369,629.9144,655.4598,681.0052,706.5506,732.096,769.0384,805.9808,842.9232,879.8656,916.808,946.691,976.574,1006.457,1036.34,1066.223,1099.347,1132.471,1165.596,1198.72,1231.844,1274.316,1316.7879999999998,1359.26,1401.7320000000002,1444.204,1493.793,1543.382,1592.971,1642.56,1692.149,1749.237,1806.325,1863.414,1920.5020000000002,1977.59,2040.771,2103.951,2167.1
